Age,Attrition_rate,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
45,0,Rarely,549,Research & Development,8,4,Other,452,4,M,75,3,2,Research Scientist,4,Married,3697,9278,9,No,14,3,1,2,12,3,3,10,9,9,8
40,0,Rarely,1124,Sales,1,2,Medical,453,2,M,57,1,2,Sales Executive,4,Married,7457,13273,2,Yes,22,4,3,3,6,2,2,4,3,0,2
29,1,Rarely,318,Research & Development,8,4,Other,454,2,M,77,1,1,Laboratory Technician,1,Married,2119,4759,1,Yes,11,3,4,0,7,4,2,7,7,0,7
29,0,Rarely,738,Research & Development,9,5,Other,455,2,M,30,2,1,Laboratory Technician,4,Single,3983,7621,0,No,17,3,3,0,4,2,3,3,2,2,2
30,0,Rarely,570,Sales,5,3,Marketing,456,4,F,30,2,2,Sales Executive,3,Divorced,6118,5431,1,No,13,3,3,3,10,2,3,10,9,1,2
27,0,Rarely,1130,Sales,8,4,Marketing,458,2,F,56,3,2,Sales Executive,2,Married,6214,3415,1,No,18,3,1,1,8,3,3,8,7,0,7
37,0,Rarely,1192,Research & Development,5,2,Medical,460,4,M,61,3,2,Manufacturing Director,4,Divorced,6347,23177,7,No,16,3,3,2,8,2,2,6,2,0,4
38,0,Rarely,343,Research & Development,15,2,Life Sciences,461,3,M,92,2,3,Research Director,4,Divorced,11510,15682,0,Yes,14,3,2,1,12,3,3,11,10,2,9
31,0,Rarely,1232,Research & Development,7,4,Medical,462,3,F,39,3,3,Manufacturing Director,4,Single,7143,25713,1,Yes,14,3,3,0,11,2,2,11,9,4,10
29,0,Rarely,144,Sales,10,1,Marketing,463,4,F,39,2,2,Sales Executive,2,Divorced,8268,11866,1,Yes,14,3,1,2,7,2,3,7,7,1,7
35,0,Rarely,1296,Research & Development,5,4,Technical Degree,464,3,M,62,3,3,Manufacturing Director,2,Single,8095,18264,0,No,13,3,4,0,17,5,3,16,6,0,13
23,0,Rarely,1309,Research & Development,26,1,Life Sciences,465,3,M,83,3,1,Research Scientist,4,Divorced,2904,16092,1,No,12,3,3,2,4,2,2,4,2,0,2
41,0,Rarely,483,Research & Development,6,3,Medical,466,4,M,95,2,2,Manufacturing Director,2,Single,6032,10110,6,Yes,15,3,4,0,8,3,3,5,4,1,2
47,0,Frequently,1309,Sales,4,1,Medical,467,2,M,99,3,2,Sales Representative,3,Single,2976,25751,3,No,19,3,1,0,5,3,3,0,0,0,0
42,0,Rarely,810,Research & Development,23,5,Life Sciences,468,1,F,44,3,4,Research Director,4,Single,15992,15901,2,No,14,3,2,0,16,2,3,1,0,0,0
29,0,Non-Travel,746,Sales,2,3,Life Sciences,469,4,M,61,3,2,Sales Executive,3,Married,4649,16928,1,No,14,3,1,1,4,3,2,4,3,0,2
42,0,Rarely,544,Human Resources,2,1,Technical Degree,470,3,M,52,3,1,Human Resources,3,Divorced,2696,24017,0,Yes,11,3,3,1,4,5,3,3,2,1,0
32,0,Rarely,1062,Research & Development,2,3,Medical,471,3,F,75,3,1,Laboratory Technician,2,Married,2370,3956,1,No,13,3,3,1,8,4,3,8,0,0,7
48,0,Rarely,530,Sales,29,1,Medical,473,1,F,91,3,3,Manager,3,Married,12504,23978,3,No,21,4,2,1,15,3,1,0,0,0,0
37,0,Rarely,1319,Research & Development,6,3,Medical,474,3,M,51,4,2,Research Scientist,1,Divorced,5974,17001,4,Yes,13,3,1,2,13,2,3,7,7,6,7
30,0,Non-Travel,641,Sales,25,2,Technical Degree,475,4,F,85,3,2,Sales Executive,3,Married,4736,6069,7,Yes,12,3,2,1,4,2,4,2,2,2,2
26,0,Rarely,933,Sales,1,3,Life Sciences,476,3,M,57,3,2,Sales Executive,3,Married,5296,20156,1,No,17,3,2,1,8,3,3,8,7,7,7
42,0,Rarely,1332,Research & Development,2,4,Other,477,1,M,98,2,2,Healthcare Representative,4,Single,6781,17078,3,No,23,4,2,0,14,6,3,1,0,0,0
21,1,Frequently,756,Sales,1,1,Technical Degree,478,1,F,99,2,1,Sales Representative,2,Single,2174,9150,1,Yes,11,3,3,0,3,3,3,3,2,1,2
36,0,Non-Travel,845,Sales,1,5,Medical,479,4,F,45,3,2,Sales Executive,4,Single,6653,15276,4,No,15,3,2,0,7,6,3,1,0,0,0
36,0,Frequently,541,Sales,3,4,Medical,481,1,M,48,2,3,Sales Executive,4,Married,9699,7246,4,No,11,3,1,1,16,2,3,13,9,1,12
57,0,Rarely,593,Research & Development,1,4,Medical,482,4,M,88,3,2,Healthcare Representative,3,Married,6755,2967,2,No,11,3,3,0,15,2,3,3,2,1,2
40,0,Rarely,1171,Research & Development,10,4,Life Sciences,483,4,F,46,4,1,Laboratory Technician,3,Married,2213,22495,3,Yes,13,3,3,1,10,3,3,7,7,1,7
21,0,Non-Travel,895,Sales,9,2,Medical,484,1,M,39,3,1,Sales Representative,4,Single,2610,2851,1,No,24,4,3,0,3,3,2,3,2,2,2
33,1,Rarely,350,Sales,5,3,Marketing,485,4,F,34,3,1,Sales Representative,3,Single,2851,9150,1,Yes,13,3,2,0,1,2,3,1,0,0,0
37,0,Rarely,921,Research & Development,10,3,Medical,486,3,F,98,3,1,Laboratory Technician,1,Married,3452,17663,6,No,20,4,2,1,17,3,3,5,4,0,3
46,0,Non-Travel,1144,Research & Development,7,4,Medical,487,3,F,30,3,2,Manufacturing Director,3,Married,5258,16044,2,No,14,3,3,0,7,2,4,1,0,0,0
41,1,Frequently,143,Sales,4,3,Marketing,488,1,M,56,3,2,Sales Executive,2,Single,9355,9558,1,No,18,3,3,0,8,5,3,8,7,7,7
50,0,Rarely,1046,Research & Development,10,3,Technical Degree,491,4,M,100,2,3,Healthcare Representative,4,Single,10496,2755,6,No,15,3,4,0,20,2,3,4,3,1,3
40,1,Rarely,575,Sales,22,2,Marketing,492,3,M,68,2,2,Sales Executive,3,Married,6380,6110,2,Yes,12,3,1,2,8,6,3,6,4,1,0
31,0,Rarely,408,Research & Development,9,4,Life Sciences,493,3,M,42,2,1,Research Scientist,2,Single,2657,7551,0,Yes,16,3,4,0,3,5,3,2,2,2,2
21,1,Rarely,156,Sales,12,3,Life Sciences,494,3,F,90,4,1,Sales Representative,2,Single,2716,25422,1,No,15,3,4,0,1,0,3,1,0,0,0
29,0,Rarely,1283,Research & Development,23,3,Life Sciences,495,4,M,54,3,1,Research Scientist,4,Single,2201,18168,9,No,16,3,4,0,6,4,3,3,2,1,2
35,0,Rarely,755,Research & Development,9,4,Life Sciences,496,3,M,97,2,2,Healthcare Representative,2,Single,6540,19394,9,No,19,3,3,0,10,5,3,1,1,0,0
27,0,Rarely,1469,Research & Development,1,2,Medical,497,4,M,82,3,1,Laboratory Technician,2,Divorced,3816,17881,1,No,11,3,2,1,5,2,3,5,2,0,4
28,0,Rarely,304,Sales,9,4,Life Sciences,498,2,M,92,3,2,Sales Executive,4,Single,5253,20750,1,No,16,3,4,0,7,1,3,7,5,0,7
49,0,Rarely,1261,Research & Development,7,3,Other,499,2,M,31,2,3,Healthcare Representative,3,Single,10965,12066,8,No,24,4,3,0,26,2,3,5,2,0,0
51,0,Rarely,1178,Sales,14,2,Life Sciences,500,3,F,87,3,2,Sales Executive,4,Married,4936,14862,4,No,11,3,3,1,18,2,2,7,7,0,7
36,0,Rarely,329,Research & Development,2,3,Life Sciences,501,4,F,96,3,1,Research Scientist,3,Married,2543,11868,4,No,13,3,2,1,6,3,3,2,2,2,2
34,1,Non-Travel,1362,Sales,19,3,Marketing,502,1,M,67,4,2,Sales Executive,4,Single,5304,4652,8,Yes,13,3,2,0,9,3,2,5,2,0,4
55,0,Rarely,1311,Research & Development,2,3,Life Sciences,505,3,F,97,3,4,Manager,4,Single,16659,23258,2,Yes,13,3,3,0,30,2,3,5,4,1,2
24,0,Rarely,1371,Sales,10,4,Marketing,507,4,F,77,3,2,Sales Executive,3,Divorced,4260,5915,1,Yes,12,3,4,1,5,2,4,5,2,0,3
30,0,Rarely,202,Sales,2,1,Technical Degree,508,3,M,72,3,1,Sales Representative,2,Married,2476,17434,1,No,18,3,1,1,1,3,3,1,0,0,0
26,1,Frequently,575,Research & Development,3,1,Technical Degree,510,3,M,73,3,1,Research Scientist,1,Single,3102,6582,0,No,22,4,3,0,7,2,3,6,4,0,4
22,0,Rarely,253,Research & Development,11,3,Medical,511,1,F,43,3,1,Research Scientist,2,Married,2244,24440,1,No,13,3,4,1,2,1,3,2,1,1,2
36,0,Rarely,164,Sales,2,2,Medical,513,2,M,61,2,3,Sales Executive,3,Married,7596,3809,1,No,13,3,2,2,10,2,3,10,9,9,0
30,1,Frequently,464,Research & Development,4,3,Technical Degree,514,3,M,40,3,1,Research Scientist,4,Single,2285,3427,9,Yes,23,4,3,0,3,4,3,1,0,0,0
37,0,Rarely,1107,Research & Development,14,3,Life Sciences,515,4,F,95,3,1,Laboratory Technician,1,Divorced,3034,26914,1,No,12,3,3,1,18,2,2,18,7,12,17
40,0,Rarely,759,Sales,2,2,Marketing,516,4,F,46,3,2,Sales Executive,2,Divorced,5715,22553,7,No,12,3,3,2,8,5,3,5,4,1,3
42,0,Rarely,201,Research & Development,1,4,Life Sciences,517,2,F,95,3,1,Laboratory Technician,1,Divorced,2576,20490,3,No,16,3,2,1,8,5,3,5,2,1,2
37,0,Rarely,1305,Research & Development,10,4,Life Sciences,518,3,M,49,3,2,Manufacturing Director,2,Single,4197,21123,2,Yes,12,3,4,0,18,2,2,1,0,0,1
43,0,Rarely,982,Research & Development,12,3,Life Sciences,520,1,M,59,2,4,Research Director,2,Divorced,14336,4345,1,No,11,3,3,1,25,3,3,25,10,3,9
40,0,Rarely,555,Research & Development,2,3,Medical,521,2,F,78,2,2,Laboratory Technician,3,Married,3448,13436,6,No,22,4,2,1,20,3,3,1,0,0,0
54,0,Rarely,821,Research & Development,5,2,Medical,522,1,M,86,3,5,Research Director,1,Married,19406,8509,4,No,11,3,3,1,24,4,2,4,2,1,2
34,0,Non-Travel,1381,Sales,4,4,Marketing,523,3,F,72,3,2,Sales Executive,3,Married,6538,12740,9,No,15,3,1,1,6,3,3,3,2,1,2
31,0,Rarely,480,Research & Development,7,2,Medical,524,2,F,31,3,2,Manufacturing Director,1,Married,4306,4156,1,No,12,3,2,1,13,5,1,13,10,3,12
43,0,Frequently,313,Research & Development,21,3,Medical,525,4,M,61,3,1,Laboratory Technician,4,Married,2258,15238,7,No,20,4,1,1,8,1,3,3,2,1,2
43,0,Rarely,1473,Research & Development,8,4,Other,526,3,F,74,3,2,Healthcare Representative,3,Divorced,4522,2227,4,Yes,14,3,4,0,8,3,3,5,2,0,2
25,0,Rarely,891,Sales,4,2,Life Sciences,527,2,F,99,2,2,Sales Executive,4,Single,4487,12090,1,Yes,11,3,2,0,5,3,3,5,4,1,3
37,0,Non-Travel,1063,Research & Development,25,5,Medical,529,2,F,72,3,2,Research Scientist,3,Married,4449,23866,3,Yes,15,3,1,2,15,2,3,13,11,10,7
31,0,Rarely,329,Research & Development,1,2,Life Sciences,530,4,M,98,2,1,Laboratory Technician,1,Married,2218,16193,1,No,12,3,3,1,4,3,3,4,2,3,2
39,0,Frequently,1218,Research & Development,1,1,Life Sciences,531,2,M,52,3,5,Manager,3,Divorced,19197,8213,1,Yes,14,3,3,1,21,3,3,21,8,1,6
56,0,Frequently,906,Sales,6,3,Life Sciences,532,3,F,86,4,4,Sales Executive,1,Married,13212,18256,9,No,11,3,4,3,36,0,2,7,7,7,7
30,0,Rarely,1082,Sales,12,3,Technical Degree,533,2,F,83,3,2,Sales Executive,3,Single,6577,19558,0,No,11,3,2,0,6,6,3,5,4,4,4
41,0,Rarely,645,Sales,1,3,Marketing,534,2,M,49,4,3,Sales Executive,1,Married,8392,19566,1,No,16,3,3,1,10,2,3,10,7,0,7
28,0,Rarely,1300,Research & Development,17,2,Medical,536,3,M,79,3,2,Laboratory Technician,1,Divorced,4558,13535,1,No,12,3,4,1,10,2,3,10,0,1,8
25,1,Rarely,688,Research & Development,3,3,Medical,538,1,M,91,3,1,Laboratory Technician,1,Married,4031,9396,5,No,13,3,3,1,6,5,3,2,2,0,2
52,0,Rarely,319,Research & Development,3,3,Medical,543,4,M,39,2,3,Manufacturing Director,3,Married,7969,19609,2,Yes,14,3,3,0,28,4,3,5,4,0,4
45,0,Rarely,192,Research & Development,10,2,Life Sciences,544,1,M,69,3,1,Research Scientist,4,Married,2654,9655,3,No,21,4,4,2,8,3,2,2,2,0,2
52,0,Rarely,1490,Research & Development,4,2,Life Sciences,546,4,F,30,3,4,Manager,4,Married,16555,10310,2,No,13,3,4,0,31,2,1,5,2,1,4
42,0,Frequently,532,Research & Development,29,2,Life Sciences,547,1,F,92,3,2,Research Scientist,3,Divorced,4556,12932,2,No,11,3,2,1,19,3,3,5,4,0,2
30,0,Rarely,317,Research & Development,2,3,Life Sciences,548,3,F,43,1,2,Manufacturing Director,4,Single,6091,24793,2,No,20,4,3,0,11,2,3,5,4,0,2
60,0,Rarely,422,Research & Development,7,3,Life Sciences,549,1,F,41,3,5,Manager,1,Married,19566,3854,5,No,11,3,4,0,33,5,1,29,8,11,10
46,0,Rarely,1485,Research & Development,18,3,Medical,550,3,F,87,3,2,Manufacturing Director,3,Divorced,4810,26314,2,No,14,3,3,1,19,5,2,10,7,0,8
42,0,Frequently,1368,Research & Development,28,4,Technical Degree,551,4,F,88,2,2,Healthcare Representative,4,Married,4523,4386,0,No,11,3,4,3,7,4,4,6,5,0,4
24,1,Rarely,1448,Sales,1,1,Technical Degree,554,1,F,62,3,1,Sales Representative,2,Single,3202,21972,1,Yes,16,3,2,0,6,4,3,5,3,1,4
34,1,Frequently,296,Sales,6,2,Marketing,555,4,F,33,1,1,Sales Representative,3,Divorced,2351,12253,0,No,16,3,4,1,3,3,2,2,2,1,0
38,0,Frequently,1490,Research & Development,2,2,Life Sciences,556,4,M,42,3,1,Laboratory Technician,4,Married,1702,12106,1,Yes,23,4,3,1,1,3,3,1,0,0,0
40,0,Rarely,1398,Sales,2,4,Life Sciences,558,3,F,79,3,5,Manager,3,Married,18041,13022,0,No,14,3,4,0,21,2,3,20,15,1,12
26,0,Rarely,1349,Research & Development,23,3,Life Sciences,560,1,F,90,3,1,Research Scientist,4,Divorced,2886,3032,1,No,22,4,2,2,3,3,1,3,2,0,2
30,0,Non-Travel,1400,Research & Development,3,3,Life Sciences,562,3,M,53,3,1,Laboratory Technician,4,Married,2097,16734,4,No,15,3,3,1,9,3,1,5,3,1,4
29,0,Rarely,986,Research & Development,3,4,Medical,564,2,M,93,2,3,Research Director,3,Married,11935,21526,1,No,18,3,3,0,10,2,3,10,2,0,7
29,1,Rarely,408,Research & Development,25,5,Technical Degree,565,3,F,71,2,1,Research Scientist,2,Married,2546,18300,5,No,16,3,2,0,6,2,4,2,2,1,1
19,1,Rarely,489,Human Resources,2,2,Technical Degree,566,1,M,52,2,1,Human Resources,4,Single,2564,18437,1,No,12,3,3,0,1,3,4,1,0,0,0
30,0,Non-Travel,1398,Sales,22,4,Other,567,3,F,69,3,3,Sales Executive,1,Married,8412,2890,0,No,11,3,3,0,10,3,3,9,8,7,8
57,0,Rarely,210,Sales,29,3,Marketing,568,1,M,56,2,4,Manager,4,Divorced,14118,22102,3,No,12,3,3,1,32,3,2,1,0,0,0
50,0,Rarely,1099,Research & Development,29,4,Life Sciences,569,2,M,88,2,4,Manager,3,Married,17046,9314,0,No,15,3,2,1,28,2,3,27,10,15,7
30,0,Non-Travel,1116,Research & Development,2,3,Medical,571,3,F,49,3,1,Laboratory Technician,4,Single,2564,7181,0,No,14,3,3,0,12,2,2,11,7,6,7
60,0,Frequently,1499,Sales,28,3,Marketing,573,3,F,80,2,3,Sales Executive,1,Married,10266,2845,4,No,19,3,4,0,22,5,4,18,13,13,11
47,0,Rarely,983,Research & Development,2,2,Medical,574,1,F,65,3,2,Manufacturing Director,4,Divorced,5070,7389,5,No,13,3,3,3,20,2,3,5,0,0,4
46,0,Rarely,1009,Research & Development,2,3,Life Sciences,575,1,M,51,3,4,Research Director,3,Married,17861,2288,6,No,13,3,3,0,26,2,1,3,2,0,1
35,0,Rarely,144,Research & Development,22,3,Life Sciences,577,4,M,46,1,1,Laboratory Technician,3,Single,4230,19225,0,No,15,3,3,0,6,2,3,5,4,4,3
54,0,Rarely,548,Research & Development,8,4,Life Sciences,578,3,F,42,3,2,Laboratory Technician,3,Single,3780,23428,7,No,11,3,3,0,19,3,3,1,0,0,0
34,0,Rarely,1303,Research & Development,2,4,Life Sciences,579,4,M,62,2,1,Research Scientist,3,Divorced,2768,8416,3,No,12,3,3,1,14,3,3,7,3,5,7
46,0,Rarely,1125,Sales,10,3,Marketing,580,3,F,94,2,3,Sales Executive,4,Married,9071,11563,2,Yes,19,3,3,1,15,3,3,3,2,1,2
31,0,Rarely,1274,Research & Development,9,1,Life Sciences,581,3,M,33,3,3,Manufacturing Director,2,Divorced,10648,14394,1,No,25,4,4,1,13,6,4,13,8,0,8
33,1,Rarely,1277,Research & Development,15,1,Medical,582,2,M,56,3,3,Manager,3,Married,13610,24619,7,Yes,12,3,4,0,15,2,4,7,6,7,7
33,1,Rarely,587,Research & Development,10,1,Medical,584,1,M,38,1,1,Laboratory Technician,4,Divorced,3408,6705,7,No,13,3,1,3,8,2,3,4,3,1,3
30,0,Rarely,413,Sales,7,1,Marketing,585,4,M,57,3,1,Sales Representative,2,Single,2983,18398,0,No,14,3,1,0,4,3,3,3,2,1,2
35,0,Rarely,1276,Research & Development,16,3,Life Sciences,586,4,M,72,3,3,Healthcare Representative,3,Married,7632,14295,4,Yes,12,3,3,0,10,2,3,8,7,0,0
31,1,Frequently,534,Research & Development,20,3,Life Sciences,587,1,M,66,3,3,Healthcare Representative,3,Married,9824,22908,3,No,12,3,1,0,12,2,3,1,0,0,0
34,1,Frequently,988,Human Resources,23,3,Human Resources,590,2,F,43,3,3,Human Resources,1,Divorced,9950,11533,9,Yes,15,3,3,3,11,2,3,3,2,0,2
42,0,Frequently,1474,Research & Development,5,2,Other,591,2,M,97,3,1,Laboratory Technician,3,Married,2093,9260,4,No,17,3,4,1,8,4,3,2,2,2,0
36,0,Non-Travel,635,Sales,10,4,Medical,592,2,M,32,3,3,Sales Executive,4,Single,9980,15318,1,No,14,3,4,0,10,3,2,10,3,9,7
22,1,Frequently,1368,Research & Development,4,1,Technical Degree,593,3,M,99,2,1,Laboratory Technician,3,Single,3894,9129,5,No,16,3,3,0,4,3,3,2,2,1,2
48,0,Rarely,163,Sales,2,5,Marketing,595,2,F,37,3,2,Sales Executive,4,Married,4051,19658,2,No,14,3,1,1,14,2,3,9,7,6,7
55,0,Rarely,1117,Sales,18,5,Life Sciences,597,1,F,83,3,4,Manager,2,Single,16835,9873,3,No,23,4,4,0,37,2,3,10,9,7,7
41,0,Non-Travel,267,Sales,10,2,Life Sciences,599,4,M,56,3,2,Sales Executive,4,Single,6230,13430,7,No,14,3,4,0,16,3,3,14,3,1,10
35,0,Rarely,619,Sales,1,3,Marketing,600,2,M,85,3,2,Sales Executive,3,Married,4717,18659,9,No,11,3,3,0,15,2,3,11,9,6,9
40,0,Rarely,302,Research & Development,6,3,Life Sciences,601,2,F,75,3,4,Manufacturing Director,3,Single,13237,20364,7,No,15,3,3,0,22,3,3,20,6,5,13
39,0,Frequently,443,Research & Development,8,1,Life Sciences,602,3,F,48,3,1,Laboratory Technician,3,Married,3755,17872,1,No,11,3,1,1,8,3,3,8,3,0,7
31,0,Rarely,828,Sales,2,1,Life Sciences,604,2,M,77,3,2,Sales Executive,4,Single,6582,8346,4,Yes,13,3,3,0,10,2,4,6,5,0,5
42,0,Rarely,319,Research & Development,24,3,Medical,605,4,M,56,3,3,Manufacturing Director,1,Married,7406,6950,1,Yes,21,4,4,1,10,5,2,10,9,5,8
45,0,Rarely,561,Sales,2,3,Other,606,4,M,61,3,2,Sales Executive,2,Married,4805,16177,0,No,19,3,2,1,9,3,4,8,7,3,7
26,1,Frequently,426,Human Resources,17,4,Life Sciences,608,2,F,58,3,1,Human Resources,3,Divorced,2741,22808,0,Yes,11,3,2,1,8,2,2,7,7,1,0
29,0,Rarely,232,Research & Development,19,3,Technical Degree,611,4,M,34,3,2,Manufacturing Director,4,Divorced,4262,22645,4,No,12,3,2,2,8,2,4,3,2,1,2
33,0,Rarely,922,Research & Development,1,5,Medical,612,1,F,95,4,4,Research Director,3,Divorced,16184,22578,4,No,19,3,3,1,10,2,3,6,1,0,5
31,0,Rarely,688,Sales,7,3,Life Sciences,613,3,M,44,2,3,Manager,4,Divorced,11557,25291,9,No,21,4,3,1,10,3,2,5,4,0,1
18,1,Frequently,1306,Sales,5,3,Marketing,614,2,M,69,3,1,Sales Representative,2,Single,1878,8059,1,Yes,14,3,4,0,0,3,3,0,0,0,0
40,0,Non-Travel,1094,Sales,28,3,Other,615,3,M,58,1,3,Sales Executive,1,Divorced,10932,11373,3,No,15,3,3,1,20,2,3,1,0,0,1
41,0,Non-Travel,509,Research & Development,2,4,Other,616,1,F,62,2,2,Healthcare Representative,3,Single,6811,2112,2,Yes,17,3,1,0,10,3,3,8,7,0,7
26,0,Rarely,775,Sales,29,2,Medical,618,1,M,45,3,2,Sales Executive,3,Divorced,4306,4267,5,No,12,3,1,2,8,5,3,0,0,0,0
35,0,Rarely,195,Sales,1,3,Medical,620,1,F,80,3,2,Sales Executive,3,Single,4859,6698,1,No,16,3,4,0,5,3,3,5,4,0,3
34,0,Rarely,258,Sales,21,4,Life Sciences,621,4,M,74,4,2,Sales Executive,4,Single,5337,19921,1,No,12,3,4,0,10,3,3,10,7,5,7
26,1,Rarely,471,Research & Development,24,3,Technical Degree,622,3,M,66,1,1,Laboratory Technician,4,Single,2340,23213,1,Yes,18,3,2,0,1,3,1,1,0,0,0
37,0,Rarely,799,Research & Development,1,3,Technical Degree,623,2,F,59,3,3,Manufacturing Director,4,Single,7491,23848,4,No,17,3,4,0,12,3,4,6,5,1,2
46,0,Frequently,1034,Research & Development,18,1,Medical,624,1,F,86,3,3,Healthcare Representative,3,Married,10527,8984,5,No,11,3,4,0,28,3,2,2,2,1,2
41,0,Rarely,1276,Sales,2,5,Life Sciences,625,2,F,91,3,4,Manager,1,Married,16595,5626,7,No,16,3,2,1,22,2,3,18,16,11,8
37,0,Non-Travel,142,Sales,9,4,Medical,626,1,M,69,3,3,Sales Executive,2,Divorced,8834,24666,1,No,13,3,4,1,9,6,3,9,5,7,7
52,0,Rarely,956,Research & Development,6,2,Technical Degree,630,4,M,78,3,2,Research Scientist,1,Divorced,5577,22087,3,Yes,12,3,2,2,18,3,3,10,9,6,9
32,1,Non-Travel,1474,Sales,11,4,Other,631,4,M,60,4,2,Sales Executive,3,Married,4707,23914,8,No,12,3,4,0,6,2,3,4,2,1,2
24,0,Frequently,535,Sales,24,3,Medical,632,4,M,38,3,1,Sales Representative,4,Married,2400,5530,0,No,13,3,3,2,3,3,3,2,2,2,1
38,0,Rarely,1495,Research & Development,10,3,Medical,634,3,F,76,3,2,Healthcare Representative,3,Married,9824,22174,3,No,19,3,3,1,18,4,3,1,0,0,0
37,0,Rarely,446,Research & Development,1,4,Life Sciences,635,2,F,65,3,2,Manufacturing Director,2,Married,6447,15701,6,No,12,3,2,1,8,2,2,6,5,4,3
49,0,Rarely,1245,Research & Development,18,4,Life Sciences,638,4,M,58,2,5,Research Director,3,Divorced,19502,2125,1,Yes,17,3,3,1,31,5,3,31,9,0,9
24,0,Rarely,691,Research & Development,23,3,Medical,639,2,M,89,4,1,Research Scientist,4,Married,2725,21630,1,Yes,11,3,2,2,6,3,3,6,5,1,4
26,0,Rarely,703,Sales,28,2,Marketing,641,1,M,66,3,2,Sales Executive,2,Married,6272,7428,1,No,20,4,4,2,6,5,4,5,3,1,4
24,0,Rarely,823,Research & Development,17,2,Other,643,4,M,94,2,1,Laboratory Technician,2,Married,2127,9100,1,No,21,4,4,1,1,2,3,1,0,0,0
50,0,Frequently,1246,Human Resources,3,3,Medical,644,1,M,99,3,5,Manager,2,Married,18200,7999,1,No,11,3,3,1,32,2,3,32,5,10,7
25,0,Rarely,622,Sales,13,1,Medical,645,2,M,40,3,1,Sales Representative,3,Married,2096,26376,1,No,11,3,3,0,7,1,3,7,4,0,6
24,1,Frequently,1287,Research & Development,7,3,Life Sciences,647,1,F,55,3,1,Laboratory Technician,3,Married,2886,14168,1,Yes,16,3,4,1,6,4,3,6,3,1,2
30,1,Frequently,448,Sales,12,4,Life Sciences,648,2,M,74,2,1,Sales Representative,1,Married,2033,14470,1,No,18,3,3,1,1,2,4,1,0,0,0
34,0,Rarely,254,Research & Development,1,2,Life Sciences,649,2,M,83,2,1,Research Scientist,4,Married,3622,22794,1,Yes,13,3,4,1,6,3,3,6,5,1,3
31,1,Rarely,1365,Sales,13,4,Medical,650,2,M,46,3,2,Sales Executive,1,Divorced,4233,11512,2,No,17,3,3,0,9,2,1,3,1,1,2
35,0,Rarely,538,Research & Development,25,2,Other,652,1,M,54,2,2,Laboratory Technician,4,Single,3681,14004,4,No,14,3,4,0,9,3,3,3,2,0,2
31,0,Rarely,525,Sales,6,4,Medical,653,1,M,66,4,2,Sales Executive,4,Divorced,5460,6219,4,No,22,4,4,2,13,4,4,7,7,5,7
27,0,Rarely,798,Research & Development,6,4,Medical,655,1,F,66,2,1,Research Scientist,3,Divorced,2187,5013,0,No,12,3,3,2,6,5,2,5,3,0,3
37,0,Rarely,558,Sales,2,3,Marketing,656,4,M,75,3,2,Sales Executive,3,Married,9602,3010,4,Yes,11,3,3,1,17,3,2,3,0,1,0
20,0,Rarely,959,Research & Development,1,3,Life Sciences,657,4,F,83,2,1,Research Scientist,2,Single,2836,11757,1,No,13,3,4,0,1,0,4,1,0,0,0
42,0,Rarely,622,Research & Development,2,4,Life Sciences,659,3,F,81,3,2,Healthcare Representative,4,Married,4089,5718,1,No,13,3,2,2,10,4,3,10,2,2,2
43,0,Rarely,782,Research & Development,6,4,Other,661,2,M,50,2,4,Research Director,4,Divorced,16627,2671,4,Yes,14,3,3,1,21,3,2,1,0,0,0
38,0,Rarely,362,Research & Development,1,1,Life Sciences,662,3,F,43,3,1,Research Scientist,1,Single,2619,14561,3,No,17,3,4,0,8,3,2,0,0,0,0
43,0,Frequently,1001,Research & Development,9,5,Medical,663,4,M,72,3,2,Laboratory Technician,3,Divorced,5679,19627,3,Yes,13,3,2,1,10,3,3,8,7,4,7
48,0,Rarely,1236,Research & Development,1,4,Life Sciences,664,4,F,40,2,4,Manager,1,Married,15402,17997,7,No,11,3,1,1,21,3,1,3,2,0,2
44,0,Rarely,1112,Human Resources,1,4,Life Sciences,665,1,F,50,2,2,Human Resources,3,Single,5985,26894,4,No,11,3,2,0,10,1,4,2,2,0,2
34,0,Rarely,204,Sales,14,3,Technical Degree,666,3,F,31,3,1,Sales Representative,3,Divorced,2579,2912,1,Yes,18,3,4,2,8,3,3,8,2,0,6
27,1,Rarely,1420,Sales,2,1,Marketing,667,3,M,85,3,1,Sales Representative,1,Divorced,3041,16346,0,No,11,3,2,1,5,3,3,4,3,0,2
21,0,Rarely,1343,Sales,22,1,Technical Degree,669,3,M,49,3,1,Sales Representative,3,Single,3447,24444,1,No,11,3,3,0,3,2,3,3,2,1,2
44,0,Rarely,1315,Research & Development,3,4,Other,671,4,M,35,3,5,Manager,4,Married,19513,9358,4,Yes,12,3,1,1,26,2,4,2,2,0,1
